,
日期,
国家,服务分类
Algeria,Commercial
Algeria,Public
Algeria,Residential
Angola,Commercial
Angola,Public
Angola,Residential
Benin,Commercial
Benin,Public
Benin,Residential
Botswana,Commercial
Botswana,Public
Botswana,Residential
Burkina Faso,Commercial
Burkina Faso,Public
Burkina Faso,Residential
Burundi,Commercial
Burundi,Public
Burundi,Residential
Cameroon,Commercial
Cameroon,Public
Cameroon,Residential
Central African Republic,Commercial
Central African Republic,Public
Central African Republic,Residential
Chad,Commercial
Chad,Public
Chad,Residential
Congo,Commercial
Congo,Public
Congo,Residential
Cote d'Ivoire,Commercial
Cote d'Ivoire,Public
Cote d'Ivoire,Residential
Democratic Republic of the Congo,Commercial
Democratic Republic of the Congo,Public
Democratic Republic of the Congo,Residential
Djibouti,Commercial
Djibouti,Public
Djibouti,Residential
Egypt,Commercial
Egypt,Public
Egypt,Residential
Equatorial Guinea,Commercial
Equatorial Guinea,Public
Equatorial Guinea,Residential
Eritrea,Commercial
Eritrea,Public
Eritrea,Residential
Ethiopia,Commercial
Ethiopia,Public
Ethiopia,Residential
Gabon,Commercial
Gabon,Public
Gabon,Residential
Ghana,Commercial
Ghana,Public
Ghana,Residential
Guinea,Commercial
Guinea,Public
Guinea,Residential
Guinea-Bissau,Commercial
Guinea-Bissau,Public
Guinea-Bissau,Residential
Kenya,Commercial
Kenya,Public
Kenya,Residential
Lesotho,Commercial
Lesotho,Public
Lesotho,Residential
Liberia,Commercial
Liberia,Public
Liberia,Residential
Libya,Commercial
Libya,Public
Libya,Residential
Madagascar,Commercial
Madagascar,Public
Madagascar,Residential
Malawi,Commercial
Malawi,Public
Malawi,Residential
Mali,Commercial
Mali,Public
Mali,Residential
Mauritania,Commercial
Mauritania,Public
Mauritania,Residential
Mauritius,Commercial
Mauritius,Public
Mauritius,Residential
Morocco,Commercial
Morocco,Public
Morocco,Residential
Mozambique,Commercial
Mozambique,Public
Mozambique,Residential
Namibia,Commercial
Namibia,Public
Namibia,Residential
Niger,Commercial
Niger,Public
Niger,Residential
Nigeria,Commercial
Nigeria,Public
Nigeria,Residential
Rwanda,Commercial
Rwanda,Public
Rwanda,Residential
Sao Tome and Principe,Commercial
Sao Tome and Principe,Public
Sao Tome and Principe,Residential
Senegal,Commercial
Senegal,Public
Senegal,Residential
Seychelles,Commercial
Seychelles,Public
Seychelles,Residential
Sierra Leone,Commercial
Sierra Leone,Public
Sierra Leone,Residential
Somalia,Commercial
Somalia,Public
Somalia,Residential
South Africa,Commercial
South Africa,Public
South Africa,Residential
South Sudan,Commercial
South Sudan,Public
South Sudan,Residential
Sudan,Commercial
Sudan,Public
Sudan,Residential
Swaziland,Commercial
Swaziland,Public
Swaziland,Residential
Togo,Commercial
Togo,Public
Togo,Residential
Tunisia,Commercial
Tunisia,Public
Tunisia,Residential
Uganda,Commercial
Uganda,Public
Uganda,Residential
United Republic of Tanzania,Commercial
United Republic of Tanzania,Public
United Republic of Tanzania,Residential
Western Sahara,Commercial
Western Sahara,Public
Western Sahara,Residential
Zambia,Commercial
Zambia,Public
Zambia,Residential
Zimbabwe,Commercial
Zimbabwe,Public
Zimbabwe,Residential
