,,利润,利润,利润,利润,销售额,销售额,销售额,销售额
日期,,2017,2018,2019,2020,2017,2018,2019,2020
地区,服务分类,,,,,,,,
Eastern,Commercial,185.22,402.48,-11.610000000000007,-2.7299999999999986,7637.570000000001,11639.94,15330.94,10308.19
Eastern,Public,-314.46999999999997,-45.44999999999999,156.82999999999998,232.49,13231.93,11140.67,12598.22,12230.05
Eastern,Residential,-11.100000000000009,176.64,209.97,172.78,15189.46,14885.4,9852.44,10860.09
Middle,Commercial,168.82,-5.3700000000000045,179.43,16.41,11744.54,4539.34,11577.84,8271.28
Middle,Public,194.21,-19.540000000000003,198.57,87.8,8330.09,8701.13,4828.85,4810.51
Middle,Residential,78.97,137.86999999999998,174.72,97.83,5915.49,8923.4,7054.95,9923.46
Northern,Commercial,118.53999999999999,157.73,4.25,-44.25,6827.83,4967.56,3580.29,3035.55
Northern,Public,169.82999999999998,38.949999999999996,154.17,30.420000000000005,4674.75,4282.74,3938.84,5854.41
Northern,Residential,245.59,263.37,49.47000000000001,35.32,6904.3,5713.71,5947.66,4491.95
Southern,Commercial,293.85,148.06,66.4,42.28,4789.4,4756.26,5536.61,7453.22
Southern,Public,234.57,72.90000000000002,-63.45,217.92,5881.97,5801.44,1571.5700000000002,4420.79
Southern,Residential,-203.72000000000003,405.41,63.10000000000001,-181.82,7925.18,7814.55,9649.98,4776.84
Western,Commercial,-135.6,4.919999999999995,-320.4,290.0,11017.42,17524.1,15143.99,12992.19
Western,Public,2.619999999999994,169.19,-112.0,-225.35999999999999,12684.07,10354.060000000001,15403.59,12786.97
Western,Residential,-24.470000000000034,61.750000000000014,297.67,235.98,15891.64,9526.289999999999,8380.04,13684.039999999999
